s_id,r_id,score,era
E98,R15,9.929879168941394,1900s
E_NOISE_076df7153a50d682,R31,9.204659687751883,1900s
E39,R294,7.124947618389702,1900s
E5,R53,7.021278288917934,1900s
E50,R294,6.800823173366792,1900s
E33,R31,6.677457831564115,1900s
E2,R1,5.988677656895644,1900s
E5,R53,5.391326278216789,1900s
E101,R_NOISE_43eef9a62abb8b1e,5.38472595989342,1900s
E136,R294,5.375372770753866,1900s
E_NOISE_87af00a51ccb8d15,R107,5.266733757885605,1900s
E2,R1,5.073420950540561,1900s
E5,R228,4.859092342638674,1900s
E74,R_NOISE_764ebba785088654,4.778846457975231,1900s
E98,R_NOISE_8cae131d9aa2e44f,4.6139527708984165,1900s
E39,R370,4.613146930774874,1900s
E136,R294,4.548263607507961,1900s
E67,R53,4.404374442325775,1900s
E141,R144,4.334760795453634,1900s
E22,R111,4.242336989126371,1900s
E10,R7,4.2027219974006655,1900s
E22,R_NOISE_bad25a78f7ebccc9,4.133061871210291,1900s
E67,R_NOISE_f8068814a3f300cd,4.072351145328843,1900s
E2,R140,4.062532403589586,1900s
E24,R_NOISE_1b05d637f0409cc9,4.032414724047087,1900s
E51,R107,4.018291885853622,1900s
E101,R_NOISE_27e90dfa57c358ac,4.010587115114896,1900s
E22,R111,3.931349693783158,1900s
E2,R6,3.911193740438513,1900s
E33,R0,3.857114712167985,1900s
E71,R17,3.841362949586915,1900s
E_NOISE_87af00a51ccb8d15,R107,3.839297596620626,1900s
E119,R293,3.820659271687401,1900s
E2,R42,3.711237142218297,1900s
E92,R54,3.70875450432468,1900s
E_NOISE_ab3ccc8dba2a0cf7,R0,3.659662777815961,1900s
E_NOISE_c35b07262fca5764,R_NOISE_959793f1086d04f7,3.6464987665165913,1900s
E98,R287,3.609986389367992,1900s
E33,R31,3.56582099637727,1900s
E39,R219,3.564772750375782,1900s
E_NOISE_d899183b01e79a44,R107,3.503597884926628,1900s
E107,R184,3.3262612542742893,1900s
E92,R76,3.3236837613853134,1900s
E136,R164,3.302995134334152,1900s
E2,R_NOISE_6b28a1dfebec76a2,3.2986686545847617,1900s
E45,R395,3.297303123641341,1900s
E39,R372,3.288284835448835,1900s
E24,R48,3.251229299268397,1900s
E1,R228,3.250332341218207,1900s
E136,R294,3.2294317734234688,1900s
